,Token,Relation,Head,Children
163,old,amod,dad,[year]
164,dad,nsubj,talk,"[old,   ]"
165,  ,dep,dad,[]
166,talk,dobj,sent,"[dad, constantly]"
167,constantly,advmod,talk,[ ]
168, ,dep,constantly,[]
169,love,compound,learning,[  ]
170,  ,dep,love,[]
171,learning,nsubj,knew,[love]
172,knew,ROOT,knew,"[learning, thing, figuring, time]"
173,thing,dobj,knew,[]
174,eveyday,nsubj,figuring,[  ]
175,  ,dep,eveyday,[]
176,still,advmod,figuring,[]
177,figuring,advcl,knew,"[eveyday, still, work, s, understand]"
178,everything,nsubj,work,[]
179,work,ccomp,figuring,[everything]
180,far,advmod,s,[ ]
181, ,dep,far,[]
182,s,advcl,figuring,"[far, use]"
183,easy,amod,use,[]
184,use,dobj,s,[easy]
185,understand,advcl,figuring,"[  , make]"
186,  ,dep,understand,[]
187,make,xcomp,understand,[laugh]
188,laugh,dobj,make,[]
189,time,punct,knew,[]
190,purchased,amod,problem,[]
191,mother,compound,problem,[]
192,knee,compound,problem,[]
193,problem,nsubj,give,"[purchased, mother, knee,   ]"
194,  ,dep,problem,[]
195,give,ROOT,give,"[problem, something, trying, enjoys]"
196,something,dobj,give,[]
197,trying,advcl,give,"[come, like]"
198,come,xcomp,trying,[getting]
199,getting,xcomp,come,"[around, fast]"
200,around,advmod,getting,[]
201,fast,advmod,getting,[]
202,like,intj,trying,[]
203,did,aux,enjoys,[]
204,she,nsubj,enjoys,[]
205,enjoys,conj,give,"[did, she, thing, cook]"
206,little,amod,thing,[]
207,big,amod,thing,[]
208,thing,dobj,enjoys,"[little, big,     ]"
209,    ,dep,thing,[]
210,alexa,compound,song,[]
211,play,compound,song,[]
212,song,compound,time,"[alexa, play,   ]"
213,  ,dep,song,[]
214,time,npadvmod,cook,"[song,   ]"
215,  ,dep,time,[]
216,cook,advcl,enjoys,"[time,  ]"
217, ,dep,cook,[]
218,love,nsubj,love,"[  , love]"
219,  ,dep,love,[]
220,love,dobj,love,[  ]
221,  ,dep,love,[]
222,love,ROOT,love,"[love,    ]"
223,   ,dep,love,[]
224,expected,ROOT,expected,[    ]
225,    ,dep,expected,[]
226,love,nsubj,hate,"[  , wife]"
227,  ,dep,love,[]
228,wife,dobj,love,[]
229,hate,ROOT,hate,"[love,  ]"
230, ,dep,hate,[]
231,really,advmod,happy,[]
232,happy,amod,purchase,[really]
233,purchase,compound,speaker,"[happy,   ]"
234,  ,dep,purchase,[]
235,great,amod,speaker,[]
236,speaker,nsubj,set,"[purchase, great]"
237,easy,amod,set,[]
238,set,ROOT,set,"[speaker, easy,  ]"
239, ,dep,set,[]
240,using,csubj,come,"[fun, trying]"
241,alexa,amod,couple,[]
242,couple,compound,day,[alexa]
243,day,compound,lot,[couple]
244,lot,npadvmod,fun,[day]
245,fun,dobj,using,"[lot, toy]"
246,new,amod,toy,[]
247,toy,dobj,fun,"[new,   , like]"
248,  ,dep,toy,[]
249,like,prep,toy,[member]
250,new,amod,member,[]
251,household,compound,member,[]
252,member,pobj,like,"[new, household,   ]"
253,  ,dep,member,[]
254,trying,xcomp,using,[learn]
255,learn,xcomp,trying,[benefit]
256,different,amod,featues,[]
257,featues,compound,benefit,[different]
258,benefit,dobj,learn,[featues]
259,come,ROOT,come,"[using,  ]"
260, ,dep,come,[]
261,love,compound,size,[]
262,size,compound,echo,"[love,  ]"
263, ,dep,size,[]
264,nd,compound,generation,[]
265,generation,compound,echo,[nd]
266,echo,nsubj,need,"[size, generation,   ]"
267,  ,dep,echo,[]
268,still,advmod,need,[]
269,need,ROOT,need,"[echo, still, sound]"
270,little,amod,sound,[]
271,improvement,compound,sound,[]
272,sound,dobj,need,"[little, improvement]"
273,liked,ROOT,liked,"[choice, miss, use, guess]"
274,original,amod,choice,[]
275,echo,compound,choice,[  ]
276,  ,dep,echo,[]
277,shorter,advmod,greater,[]
278,greater,amod,choice,[shorter]
279,fabric,compound,color,[]
280,color,compound,choice,[fabric]
281,choice,dobj,liked,"[original, echo, greater, color,   ]"
282,  ,dep,choice,[]
283,miss,advcl,liked,"[top, ring, w, comforting]"
284,volume,compound,ring,[]
285,ring,compound,top,[volume]
286,top,dobj,miss,"[ring,    , s, plus, minus]"
287,   ,dep,top,[]
288,s,case,top,[]
289,plus,cc,top,[]
290,minus,conj,top,[]
291,button,compound,ring,"[  , deal]"
292,  ,dep,button,[]
293,big,amod,deal,[]
294,deal,dobj,button,[big]
295,ring,npadvmod,miss,[button]
296,w,punct,miss,[]
297,comforting,advcl,miss,"[        , well]"
298,        ,dep,comforting,[]
299,well,pobj,comforting,[]
300,like,intj,use,[]
301,use,dep,liked,"[like, port]"
302,standard,amod,port,[]
303,usb,compound,port,[]
304,charger,compound,port,[ ]
305, ,dep,charger,[]
306,port,dobj,use,"[standard, usb, charger]"
307,instead,advmod,previous,[]
308,previous,amod,pin,[instead]
309,round,amod,pin,[]
310,pin,nsubj,guess,"[previous, round,     ]"
311,    ,dep,pin,[]
312,guess,conj,liked,"[pin, seems]"
313,sound,nsubj,seems,[  ]
314,  ,dep,sound,[]
315,seems,ccomp,guess,"[sound, answer]"
316,work,nsubj,answer,[  ]
317,  ,dep,work,[]
318,still,advmod,answer,[]
319,answer,ccomp,seems,"[work, still, computer, s]"
320,alexa,compound,computer,[]
321,echo,compound,computer,[]
322,computer,dobj,answer,"[alexa, echo,    ]"
323,   ,dep,computer,[]
324,s,ccomp,answer,[like]
325,like,prep,s,[     ]
326,     ,dep,like,[]
327,love,nsubj,echo,[]
328,echo,ROOT,echo,"[love, sound, understands, find]"
329,good,amod,music,[]
330,music,compound,sound,[good]
331,sound,dobj,echo,"[music, playing]"
332,playing,acl,sound,"[  , alexa]"
333,  ,dep,playing,[]
334,alexa,dobj,playing,[]
335,understands,advcl,echo,"[command, time]"
336,command,dobj,understands,[]
337,difficult,amod,time,[]
338,time,dobj,understands,[difficult]
339,find,conj,echo,[spotify]
340,specific,amod,song,[]
341,playlist,compound,song,[]
342,song,nsubj,spotify,"[specific, playlist]"
343,spotify,ccomp,find,"[song,   , music]"
344,  ,dep,spotify,[]
345,good,amod,music,[]
346,amazon,compound,music,[]
347,music,dobj,spotify,"[good, amazon, lacking]"
348,lacking,acl,music,[program]
349,major,amod,program,[]
350,program,dobj,lacking,"[major,  ]"
351, ,dep,program,[]
352,love,csubj,play,"[use, play]"
353,alexa,npadvmod,use,[  ]
354,  ,dep,alexa,[]
355,use,dobj,love,"[alexa, music]"
356,play,compound,music,[]
357,music,dobj,use,"[play,   ]"
358,  ,dep,music,[]
359,play,dep,love,[itunes]
360,radio,compound,itunes,[]
361,itunes,dobj,play,"[radio,   ]"
362,  ,dep,itunes,[]
363,play,ROOT,play,"[love, podcasts, set, listen, rely]"
364,podcasts,dobj,play,[]
365,anypod,advmod,set,[  ]
366,  ,dep,anypod,[]
367,set,advcl,play,"[anypod, reminder]"
368,reminder,dobj,set,[  ]
369,  ,dep,reminder,[]
370,listen,conj,play,[weather]
371,flash,compound,weather,[]
372,briefing,compound,weather,[]
373,news,compound,weather,[]
374,weather,dobj,listen,"[flash, briefing, news]"
375,every,det,morning,[]
376,morning,npadvmod,rely,"[every,   ]"
377,  ,dep,morning,[]
378,rely,advcl,play,"[morning, list, like, continue]"
379,custom,compound,list,[]
380,list,dobj,rely,"[custom,   ]"
381,  ,dep,list,[]
382,like,prep,rely,[volume]
383,able,amod,volume,[]
384,voice,compound,control,[]
385,control,compound,volume,[voice]
386,volume,pobj,like,"[able, control,    , re]"
387,   ,dep,volume,[]
388,re,acl,volume,[sure]
389,sure,amod,re,[ ]
390, ,dep,sure,[]
391,ll,aux,continue,[]
392,continue,advcl,rely,"[ll, find]"
393,find,xcomp,continue,"[uses, s]"
394,new,amod,uses,[]
395,uses,dobj,find,[new]
396,sometimes,advmod,s,[ ]
397, ,dep,sometimes,[]
398,s,advcl,find,"[sometimes, frustrating]"
399,bit,npadvmod,frustrating,[]
400,frustrating,acomp,s,[bit]
401,alexa,compound,t,[]
402,n,punct,t,[]
403,t,nsubj,understand,"[alexa, n]"
404,understand,ROOT,understand,"[t,  , re]"
405, ,dep,understand,[]
406,re,prep,understand,[saying]
407,saying,pcomp,re,[ ]
408, ,dep,saying,[]
409,set,amod,day,[]
410,day,nsubj,adding,"[set,   ]"
411,  ,dep,day,[]
412,still,advmod,adding,[]
413,adding,ROOT,adding,"[day, still, music, counter, look]"
414,smart,amod,device,[]
415,home,compound,device,[]
416,device,compound,speaker,"[smart, home,   ]"
417,  ,dep,device,[]
418,speaker,nmod,music,[device]
419,great,amod,music,[]
420,playing,amod,music,[]
421,music,dobj,adding,"[speaker, great, playing,   , like]"
422,  ,dep,music,[]
423,like,prep,music,[size]
424,size,pobj,like,[  ]
425,  ,dep,size,[]
426,stationed,amod,counter,[]
427,kitchen,compound,counter,[]
428,counter,dobj,adding,"[stationed, kitchen,   ]"
429,  ,dep,counter,[]
430,intrusive,amod,look,[]
431,look,dobj,adding,"[intrusive,  ]"
432, ,dep,look,[]
433,love,nsubj,play,[  ]
434,  ,dep,love,[]
435,play,ROOT,play,"[love, sound, ask]"
436,sleep,compound,sound,[]
437,sound,dobj,play,[sleep]
438,immediately,advmod,ask,[]
439,ask,dep,play,[immediately]
440,got,csubj,see,[expecting]
441,second,amod,bedroom,[]
442,unit,compound,bedroom,[]
443,bedroom,nsubj,expecting,"[second, unit,   ]"
444,  ,dep,bedroom,[]
445,expecting,ccomp,got,"[bedroom, improved]"
446,sound,nsubj,improved,[]
447,improved,ccomp,expecting,[sound]
448,did,aux,see,[]
449,nt,neg,see,[]
450,really,advmod,see,[]
451,see,ROOT,see,"[got, did, nt, really, difference, generation]"
452,difference,dobj,see,[  ]
453,  ,dep,difference,[]
454,overall,amod,generation,[  ]
455,  ,dep,overall,[]
456,big,amod,improvement,[]
457,improvement,compound,generation,"[big,  ]"
458, ,dep,improvement,[]
459,st,compound,generation,[]
460,generation,npadvmod,see,"[overall, improvement, st,  ]"
461, ,dep,generation,[]
462,amazing,amod,product,[]
463,product,ROOT,product,[amazing]
464,love,nsubj,echo,[]
465,echo,compound,s,"[love,    ]"
466,   ,dep,echo,[]
467,s,dep,load,[echo]
468,easy,amod,load,[]
469,operate,compound,load,[  ]
470,  ,dep,operate,[]
471,load,ROOT,load,"[s, easy, operate, fun]"
472,fun,nummod,load,[]
473,it,nsubj,play,[]
474,everything,nsubj,play,[advertised]
475,advertised,acl,everything,"[  , use]"
476,  ,dep,advertised,[]
477,use,dobj,advertised,[]
478,mainly,advmod,play,[]
479,play,ROOT,play,"[it, everything, mainly, test]"
480,favorite,amod,tune,[]
481,tune,compound,test,[favorite]
482,test,dobj,play,"[tune, knowledge]"
483,alexa,poss,knowledge,"[ , s]"
484, ,dep,alexa,[]
485,s,case,alexa,[]
486,knowledge,appos,test,"[alexa,  ]"
487, ,dep,knowledge,[]
488,sound,ROOT,sound,[love]
489,great,amod,love,[    ]
490,    ,dep,great,[]
491,love,dobj,sound,"[great,  ]"
492, ,dep,love,[]
493,fun,compound,play,[]
494,item,compound,play,[]
495,play,nsubjpass,used,"[fun, item]"
496,get,auxpass,used,[]
497,used,ROOT,used,"[play, get, using, answering, think]"
498,using,xcomp,used,"[  , time]"
499,  ,dep,using,[]
500,sometimes,advmod,hard,[]
501,hard,amod,time,[sometimes]
502,time,dobj,using,[hard]
503,answering,advcl,used,[question]
504,question,dobj,answering,[]
505,ask,aux,think,[  ]
506,  ,dep,ask,[]
507,think,xcomp,used,"[ask, better]"
508,better,advmod,think,[ ]
509, ,dep,better,[]
510,like,ROOT,like,[one]
511,one,pobj,like,[]
512,still,advmod,learning,[]
513,learning,ROOT,learning,"[still, capability, far, good]"
514,capability,dobj,learning,[    ]
515,    ,dep,capability,[]
516,far,advmod,learning,[]
517,pretty,advmod,pretty,[]
518,pretty,advmod,good,[pretty]
519,pretty,advmod,good,[]
520,good,advmod,learning,"[pretty, pretty]"
521,like,ROOT,like,[]
522,work,ROOT,work,"[need, learn, learn, great]"
523,well,advmod,need,[  ]
524,  ,dep,well,[]
525,need,advcl,work,"[well, learning]"
526,learning,xcomp,need,"[command, user, like]"
527,command,dobj,learning,[]
528,unique,amod,user,[  ]
529,  ,dep,unique,[]
530,owner,compound,user,[]
531,user,dobj,learning,"[unique, owner]"
532,like,prep,learning,"[  , alexa]"
533,  ,dep,like,[]
534,alexa,pobj,like,[  ]
535,  ,dep,alexa,[]
536,learn,advcl,work,"[  , birthday]"
537,  ,dep,learn,[]
538,tasha,compound,birthday,[  ]
539,  ,dep,tasha,[]
540,birthday,dobj,learn,"[tasha,   ]"
541,  ,dep,birthday,[]
542,alexa,nsubj,learn,[  ]
543,  ,dep,alexa,[]
544,learn,advcl,work,"[alexa,   , fine, etc]"
545,  ,dep,learn,[]
546,definition,compound,fine,[]
547,fine,dobj,learn,"[definition,   ]"
548,  ,dep,fine,[]
549,etc,prep,learn,[  ]
550,  ,dep,etc,[]
551,great,acomp,work,[]
552,speaker,nsubj,sound,[]
553,sound,nsubj,followed,"[speaker, setup, bought]"
554,pretty,advmod,good,[]
555,good,amod,setup,[pretty]
556,small,amod,setup,[]
557,setup,dobj,sound,"[good, small]"
558,pretty,advmod,easy,[]
559,easy,advmod,bought,"[pretty,   ]"
560,  ,dep,easy,[]
561,bought,conj,sound,"[easy, rate]"
562,two,nummod,rate,[]
563,reason,compound,rate,[]
564,rate,dobj,bought,"[two, reason,   ]"
565,  ,dep,rate,[]
566,followed,ROOT,followed,"[sound, unit, know, sync]"
567,instruction,compound,unit,[]
568,synching,amod,music,[]
569,music,compound,unit,[synching]
570,unit,dobj,followed,"[instruction, music,   ]"
571,  ,dep,unit,[]
572,know,advcl,followed,"[ , done]"
573, ,dep,know,[]
574,ve,aux,done,[]
575,done,xcomp,know,"[ve, correctly]"
576,correctly,advmod,done,[]
577,wo,aux,sync,[]
578,n,advmod,sync,[]
579,t,nsubj,sync,[]
580,sync,advcl,followed,"[wo, n, t,   , motivation]"
581,  ,dep,sync,[]
582,primary,amod,motivation,[]
583,motivation,dobj,sync,"[primary, purchasing]"
584,purchasing,acl,motivation,[unit]
585,multiple,amod,unit,[]
586,unit,dobj,purchasing,"[multiple,  ]"
587, ,dep,unit,[]
588,device,ROOT,device,[awesome]
589,awesome,amod,device,[ ]
590, ,dep,awesome,[]
591,bought,ROOT,bought,"[compare, bought]"
592,compare,xcomp,bought,[speaker]
593,speaker,compound,quality,[]
594,quality,nmod,speaker,[speaker]
595,first,amod,generation,[]
596,generation,compound,speaker,[first]
597,speaker,dobj,compare,"[quality, generation, like]"
598,like,prep,speaker,"[sound, daughter]"
599,sound,pobj,like,[]
600,better,amod,daughter,[  ]
601,  ,dep,better,[]
602,ship,compound,daughter,[]
603,daughter,pobj,like,"[better, ship]"
604,though,mark,bought,[]
605,like,prep,bought,[fact]
606,fact,pobj,like,[]
607,first,amod,generation,[]
608,generation,nmod,base,[first]
609,chargeable,amod,base,[]
610,base,nsubj,bought,"[generation, chargeable]"
611,bought,advcl,bought,"[though, like, base, keep]"
612,keep,xcomp,bought,"[need, sound]"
613,mobile,amod,need,[]
614,need,dobj,keep,[mobile]
615,better,amod,sound,[]
616,sound,dobj,keep,"[better,  ]"
617, ,dep,sound,[]
618,love,nsubj,echo,[]
619,echo,nsubj,included,"[love,   , learning, follow]"
620,  ,dep,echo,[]
621,still,advmod,learning,[]
622,learning,xcomp,echo,"[still, thing]"
623,thing,dobj,learning,[    ]
624,    ,dep,thing,[]
625,able,aux,follow,[]
626,follow,dep,echo,"[able, instruction]"
627,instruction,dobj,follow,[]
628,included,ROOT,included,"[echo, package]"
629,package,dobj,included,"[  , found]"
630,  ,dep,package,[]
631,found,acl,package,[tube]
632,great,amod,tube,[]
633,one,nummod,tube,[]
634,u,compound,tube,[]
635,tube,dobj,found,"[great, one, u,  ]"
636, ,dep,tube,[]
637,speaker,compound,echo,[]
638,better,amod,echo,[ ]
639, ,dep,better,[]
640,st,compound,generation,[]
641,generation,compound,echo,[st]
642,echo,ROOT,echo,"[speaker, better, generation]"
643,thing,npadvmod,cool,[]
644,way,advmod,cool,[]
645,cool,ROOT,cool,"[thing, way,   , get, cool]"
646,  ,dep,cool,[]
647,get,dep,cool,[want]
648,one,nsubj,want,[  ]
649,  ,dep,one,[]
650,want,ccomp,get,[one]
651,cool,acomp,cool,[   ]
652,   ,dep,cool,[]
653,first,amod,assistant,[]
654,digital,amod,assistant,[]
655,assistant,nsubj,giving,"[first, digital,  ]"
656, ,dep,assistant,[]
657,m,aux,giving,[]
658,giving,ROOT,giving,"[assistant, m, speaker, going, ended, n]"
659,good,amod,speaker,[]
660,review,compound,speaker,[  ]
661,  ,dep,review,[]
662,speaker,dative,giving,"[good, review]"
663,really,advmod,good,[]
664,good,amod,price,[really]
665,cheap,amod,price,[]
666,price,nmod,play,"[good, cheap]"
667,prime,amod,day,[]
668,day,compound,fun,"[prime,   ]"
669,  ,dep,day,[]
670,fun,compound,play,[day]
671,play,compound,s,"[price, fun, used]"
672,used,acl,play,[]
673,alarm,compound,clock,[]
674,clock,compound,s,"[alarm,    ]"
675,   ,dep,clock,[]
676,s,nsubj,going,"[play, clock]"
677,going,advcl,giving,"[s, get]"
678,get,xcomp,going,[place]
679,first,amod,place,[]
680,place,dobj,get,"[first,   ]"
681,  ,dep,place,[]
682,ended,conj,giving,[]
683,echo,compound,n,[    ]
684,    ,dep,echo,[]
685,n,punct,giving,[echo]
686,t,nsubj,go,[]
687,go,ROOT,go,"[t, one, try, came, connect, alexa, turn]"
688,one,dobj,go,[]
689,definitely,advmod,try,[]
690,try,advcl,go,"[definitely,   , connect]"
691,  ,dep,try,[]
692,like,mark,connect,[]
693,best,amod,device,[]
694,number,compound,device,[]
695,device,nsubj,connect,"[best, number]"
696,connect,xcomp,try,"[like, device,   , purchase]"
697,  ,dep,connect,[]
698,purchase,dobj,connect,[]
699,came,conj,go,[]
700,smart,amod,connect,[]
701,plug,nsubj,connect,[    ]
702,    ,dep,plug,[]
703,connect,advcl,go,"[smart, plug, lamp]"
704,lamp,dobj,connect,[  ]
705,  ,dep,lamp,[]
706,alexa,npadvmod,go,[  ]
707,  ,dep,alexa,[]
708,turn,advcl,go,[light]
709,light,dobj,turn,[ ]
710, ,dep,light,[]
711,husband,nsubj,use,[like]
712,like,prep,husband,[able]
713,able,pcomp,like,[]
714,use,csubj,knew,"[husband, listen, music]"
715,listen,xcomp,use,[]
716,music,dobj,use,[  ]
717,  ,dep,music,[]
718,wish,nsubj,knew,[]
719,knew,ROOT,knew,"[use, wish,  , s, capability]"
720, ,dep,knew,[]
721,s,dep,knew,[]
722,capability,dobj,knew,[]
723,android,nsubj,allow,[]
724,would,aux,allow,[]
725,allow,ROOT,allow,"[android, would, connect, glitch]"
726,alexa,nsubj,connect,[]
727,connect,ccomp,allow,"[alexa,   , fortunately]"
728,  ,dep,connect,[]
729,fortunately,advmod,connect,[  ]
730,  ,dep,fortunately,[]
731,sister,compound,cell,[]
732,apple,compound,cell,[]
733,cell,nmod,glitch,"[sister, apple,   , support]"
734,  ,dep,cell,[]
735,hour,nmod,support,[ ]
736, ,dep,hour,[]
737,tech,compound,support,[]
738,support,appos,cell,"[hour, tech]"
739,fixed,amod,glitch,[]
740,glitch,dobj,allow,"[cell, fixed,   , running]"
741,  ,dep,glitch,[]
742,running,acl,glitch,[ ]
743, ,dep,running,[]
744,far,advmod,good,[]
745,good,ROOT,good,[far]
746,tried,ROOT,tried,[play]
747,play,xcomp,tried,"[show, give]"
748,certain,amod,show,[]
749,broadway,amod,show,[]
750,show,dobj,play,"[certain, broadway]"
751,like,mark,give,[camelot]
752,camelot,pobj,like,[]
753,give,advcl,play,"[like, camelot]"
754,ne,compound,group,[]
755,group,compound,camelot,[ne]
756,camelot,dobj,give,"[group,  ]"
757, ,dep,camelot,[]
758,great,ROOT,great,[]
759,satisfied,advcl,listen,[]
760,echo,compound,room,[  ]
761,  ,dep,echo,[]
762,alexa,compound,control,[]
763,control,compound,room,[alexa]
764,light,compound,family,[]
765,family,compound,room,[light]
766,room,compound,wife,"[echo, control, family]"
767,wife,nsubj,listen,[room]
768,listen,ROOT,listen,"[satisfied, wife, buffet, asking]"
769,jimmy,compound,buffet,[]
770,buffet,dobj,listen,[jimmy]
771,asking,advcl,listen,[alexa]
772,alexa,advmod,asking,[ ]
773, ,dep,alexa,[]
774, ,dep,s,[]
775,s,ROOT,s,"[ , like, answer, n]"
776,like,prep,s,[]
777,siri,compound,fact,[  ]
778,  ,dep,siri,[]
779,fact,compound,siri,"[siri,   ]"
780,  ,dep,fact,[]
781,siri,nsubj,answer,[fact]
782,answer,ccomp,s,"[siri, accurately]"
783,accurately,advmod,answer,[]
784,alexa,compound,n,[  ]
785,  ,dep,alexa,[]
786,n,punct,s,[alexa]
787,t,nsubj,see,[]
788,see,ROOT,see,"[t, household, though]"
789,real,amod,need,[]
790,need,compound,household,[real]
791,household,dobj,see,"[need,   ]"
792,  ,dep,household,[]
793,though,prep,see,[deal]
794,good,amod,deal,[]
795,bargain,compound,deal,[]
796,prime,amod,day,[]
797,day,compound,deal,[prime]
798,deal,pobj,though,"[good, bargain, day,  ]"
799, ,dep,deal,[]
800,love,nsubj,echo,[]
801,echo,ROOT,echo,"[love,   , learning]"
802,  ,dep,echo,[]
803,still,advmod,learning,[]
804,learning,xcomp,echo,"[still, work]"
805,every,det,thing,[]
806,thing,nsubj,work,[every]
807,work,ccomp,learning,"[thing, fun]"
808,ton,compound,fun,[]
809,fun,dobj,work,"[ton,  ]"
810, ,dep,fun,[]
811,love,ROOT,love,[much]
812,much,dobj,love,[]
813,different,amod,play,[]
814,apple,nsubj,play,[  ]
815,  ,dep,apple,[]
816,play,ROOT,play,"[different, apple, music, spotify, pay]"
817,specific,amod,music,[]
818,list,compound,music,[]
819,music,dobj,play,"[specific, list]"
820,must,aux,spotify,[]
821,amazon,nsubj,spotify,[]
822,spotify,conj,play,"[must, amazon,   , plus, account]"
823,  ,dep,spotify,[]
824,plus,cc,spotify,[]
825,prime,amod,account,[]
826,etc,compound,account,[  ]
827,  ,dep,etc,[]
828,account,dobj,spotify,"[prime, etc,   ]"
829,  ,dep,account,[]
830,must,aux,pay,[]
831,pay,advcl,play,"[must, reason, everything]"
832,play,compound,reason,[    ]
833,    ,dep,play,[]
